id,recipe_id,name,kcal,protein,fat,carbohydrates,sugars,sodium,cholesterol,saturated_fat
86,86,꽁치찌개,354,24,23.31,12.21,5.91,1296,63.33,4.89
87,87,꽃게콩나물찜,416,46.88,10.72,40.8,7.28,1672,100.96,1.68
88,88,꽃게탕,102,11.16,2.46,8.64,5.7,1638,15.66,0.24
89,89,꽈리고추찜,104,3.59,2.09,17.69,0.44,316,0,0.37
90,90,꿩불고기,370,33.5,8.5,39.7,16.9,1265,106.2,1.9
91,91,낙지꼬치구이,75.2,13.144,1.272,2.824,0,207.2,133.744,0.136
92,92,낙지덮밥,525,20.58,11.69,84.42,7.56,742,113.575,1.295
93,93,낙지볶음,182,11.54,7.54,17.2,15.82,1074,89.52,0.88
94,94,낙지전골,153,19.5,3.42,11.16,0,1452,154.32,0.99
95,95,낙지찜,444,32.82,25.86,22.86,5.34,1302,213.18,4.02
96,96,낙지탕,186,29.4,3.18,10.38,1.92,1704,292.44,0.42
97,97,난자완스,346,21.62,20.34,19.14,0.5,704,76.76,4.6
98,98,내장전골,272.6,25.427,13.536,13.583,3.384,601.6,243.084,3.948
99,99,내장탕,426,34.92,27.12,10.08,0.3,1296,383.34,10.68
100,100,냉국,129.5,0.665,2.345,26.285,15.715,518,0,0.035
101,101,넙치회덮밥,392.7,21.777,5.406,64.464,9.792,433.5,35.853,0.816
102,102,녹두빈대떡,208,7.94,10.27,20.93,0.1,232,12.48,2.26
103,103,누룽지,69,1.32,0.1,15.06,1.15,13,0,0.04
104,104,느타리버섯볶음,87,3.61,4.66,7.69,3.24,453,1.17,0.45
105,105,다시마튀각,231,4.22,13.26,23.66,8.62,652.5,0,2.04
106,106,단무지무침,13.2,0.328,0.508,1.912,0.716,236,0,0.084
107,107,단호박샐러드,64,0.615,4.745,5.14,1.725,41,3.17,0.72
108,108,단호박찜,36.9,0.837,0.144,9.036,3.267,1.8,0,0.027
109,109,달걀국,52,3.72,2.96,2.76,0,984,124.44,1.08
110,110,달걀말이,193,17.21,13.21,1.45,0,449,339.85,3.33
111,111,달걀조림,87.2,7.208,3.832,5.224,1.2,398.4,152.272,1.304
112,112,달걀찜,108,9.01,7.5,1.03,0.81,375,81.09,2.24
113,113,달걀탕,101.5,6.23,7.14,3.29,0,353.5,119.175,1.295
114,114,달걀후라이,124.8,9.438,8.268,3.09,0.018,96.6,196.632,2.232
115,115,닭갈비,558,41.94,32.88,23.79,2.31,1014,147.96,5.76
116,116,닭고기덮밥,512.5,46.74,8.938,60.762,4.387,627.3,378.389,3.239
117,117,닭고기육개장,163.8,20.832,4.494,10.5,1.932,495.6,62.202,1.092
